"","Find","id","year_behav","Group","sdb.ra","vig.ra","sex","age","rank","rank2","rc","outdeg.grm","indeg.grm","eigen.pr","betw.pr","outdeg.agg","indeg.agg","Wdeg.pr","Windeg.agg"
"1526","3O3|2017","3O3",2017,"KK",26.09,247.83,"Male",4.742465753,NA,NA,NA,NA,NA,2.15e-05,NA,NA,NA,4.051384957,NA
"1527","4D8|2017","4D8",2017,"KK",16.64,154.71,"Female",10.71780822,NA,89.6551724137931,0.609512757741613,0.14,0,0.018724587,0.005,0,0,199.2377652,54.07721048
"1528","4F1|2017","4F1",2017,"KK",9.3,188.25,"Female",9.671232877,NA,74.1379310344828,0.59076166641133,0.2,1.849,0.026721434,0.03,0.008,0,291.3026255,121.169272
"1529","51J|2017","51J",2017,"KK",8.68,144.64,"Male",18.48767123,NA,70,0.425387232390132,1.971,5.439,0.005054454,0.009,0.009,0,78.51531431,91.20484752
"1530","56K|2017","56K",2017,"KK",8.32,102.21,"Male",18.44657534,NA,26.6666666666667,0.466728880043909,NA,NA,0.005841421,NA,NA,NA,90.43708455,16.94957343
"1531","60R|2017","60R",2017,"KK",12.1,184.46,"Female",15.54246575,NA,62.0689655172414,0.510241516442168,5.972,5.972,0.00780219,0.025,0.008,0,148.5683202,85.51830232
"1532","6O7|2017","6O7",2017,"KK",15.77,128.41,"Female",4.635616438,NA,37.9310344827586,0.463401747802617,NA,NA,0.001778638,NA,NA,NA,42.35538819,16.94957343
"1533","7O3|2017","7O3",2017,"KK",31.74,235.27,"Male",4.684931507,NA,50,0.449313686688156,4.52,4.52,0.006627444,0.006,0,0,38.8257725,84.04163494
"1534","83Z|2017","83Z",2017,"KK",20.39,199.37,"Female",12.50410959,NA,48.2758620689655,0.412583417504854,2.696,1.979,0.03345583,0.029,0,0.008,335.4201821,177.1563847
"1535","8C9|2017","8C9",2017,"KK",18.93,161.37,"Male",10.63561644,NA,36.6666666666667,0.360611691034619,0,0.27,0.001304559,0.015,0,0.035,21.17769409,162.4003934
"1536","8L3|2017","8L3",2017,"KK",15.95,166.33,"Female",6.720547945,NA,94.8275862068966,0.761586838604698,10.06,10.06,0.040899593,0.012,0,0.009,336.1854437,72.56765422
