"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
"97Z","3F5","aggression","F","F","2017-11-30","DP","scan","agonsim.loser","AM"
"24V","1E2","aggression","F","F","2017-11-30","DP","scan","agonsim.loser","AM"
"2J7","7F0","aggression","F","F","2017-11-30","DP","scan","agonsim.loser","AM"
"97Z","5K0","aggression","M","M","2017-11-30","DP","scan","agonsim.loser","AM"
"93O","9H9","aggression","F","M","2017-11-30","DP","scan","agonsim.loser","AM"
"JM","6M7","aggression","F","F","2017-11-30","DP","scan","agonsim.loser","AM"
"16R","3M3","aggression","M","M","2017-11-30","DP","scan","agonsim.loser","AM"
"2C4","4F1","aggression","F","F","2017-11-30","DP","scan","agonsim.loser","AM"
"7I8","9L9","aggression","F","F","2017-12-07","DP","scan","agonsim.winner","AM"
"0M6","51V","aggression","F","F","2017-12-07","DP","scan","agonsim.winner","AM"
"3M3","86Z","aggression","M","M","2017-12-07","DP","scan","agonsim.winner","AM"
"1E2","6D6","aggression","F","F","2017-12-07","DP","scan","agonsim.loser","AM"
"27J","8C9","aggression","M","M","2017-12-13","DP","scan","agonsim.winner","AM"
"5J3","8C9","aggression","M","M","2017-12-13","DP","scan","agonsim.winner","AM"
"46N","5J3","aggression","M","M","2017-12-13","DP","scan","agonsim.loser","AM"
"3F5","51V","aggression","F","F","2017-12-13","DP","scan","agonsim.loser","AM"
"46Z","93O","aggression","F","F","2017-12-13","DP","scan","agonsim.loser","AM"
"99L","JF","aggression","M","M","2017-12-14","DP","scan","agonsim.winner","AM"
"5H4","7J7","aggression","F","M","2017-12-14","DP","scan","agonsim.winner","AM"
"2C4","6D4","aggression","F","M","2017-12-14","DP","scan","agonsim.winner","AM"
"97Z","8L3","aggression","F","F","2017-12-14","DP","scan","agonsim.loser","AM"
"9.00E+06","1M8","aggression","M","M","2017-12-14","DP","scan","agonsim.loser","AM"
"16R","24V","aggression","F","F","2017-12-14","DP","scan","agonsim.loser","AM"
"4D8","9I8","aggression","F","F","2017-12-14","DP","scan","agonsim.loser","AM"
"98Z","1C7","aggression","M","M","2017-12-21","DP","scan","agonsim.winner","AM"
"27J","6D6","aggression","M","M","2017-12-21","DP","scan","agonsim.winner","AM"
"1E2","6C2","aggression","F","F","2017-12-21","DP","scan","agonsim.winner","AM"
"8H2","6L1","aggression","F","F","2017-12-21","DP","scan","agonsim.loser","AM"
"4D8","6C2","aggression","F","F","2017-12-21","DP","scan","agonsim.loser","AM"
"73Z","97Z","aggression","F","M","2018-01-11","DP","scan","agonsim.winner","AM"
"6L3","2F2","aggression","M","M","2018-01-11","DP","scan","agonsim.winner","AM"
"56K","99L","aggression","M","M","2018-01-11","DP","scan","agonsim.winner","AM"
"2J7","7F0","aggression","F","F","2018-01-11","DP","scan","agonsim.winner","AM"
"5J3","6D6","aggression","M","M","2018-01-11","DP","scan","agonsim.winner","AM"
"51J","73Z","aggression","M","M","2018-01-11","DP","scan","agonsim.winner","AM"
"3F5","5M5","aggression","F","F","2018-01-11","DP","scan","agonsim.winner","PM"
"56K","1E2","aggression","M","M","2018-01-12","DP","scan","agonsim.winner","AM"
"2J7","4D8","aggression","F","F","2018-01-12","DP","scan","agonsim.winner","AM"
"3M3","INF","aggression","M","M","2018-01-12","DP","scan","agonsim.winner","AM"
"5J3","9I8","aggression","M","M","2018-01-12","DP","scan","agonsim.winner","AM"
"24V","4F1","aggression","F","F","2018-01-12","DP","scan","agonsim.loser","AM"
"2C4","7I8","aggression","F","F","2018-01-12","DP","scan","agonsim.loser","AM"
"98Z","3F7","aggression","M","M","2018-01-16","DP","scan","agonsim.winner","AM"
"8H2","6L1","aggression","F","F","2018-01-16","DP","scan","agonsim.loser","AM"
"97Z","0M6","aggression","F","F","2018-01-16","DP","scan","agonsim.loser","AM"
"JM","6L1","aggression","F","F","2018-01-16","DP","scan","agonsim.loser","AM"
"46Z","2J7","aggression","M","M","2018-01-17","DP","scan","agonsim.winner","AM"
"6L1","JM","aggression","F","F","2018-01-17","DP","scan","agonsim.winner","AM"
"51V","6L1","aggression","F","F","2018-01-17","DP","scan","agonsim.winner","AM"
"0K8","JF","aggression","F","M","2018-01-17","DP","scan","agonsim.winner","AM"
"6L4","5J3","aggression","M","M","2018-01-17","DP","scan","agonsim.winner","AM"
"73Z","5H4","aggression","F","M","2018-01-17","DP","scan","agonsim.winner","AM"
"3M3","4D8","aggression","M","M","2018-01-17","DP","scan","agonsim.winner","AM"
"56K","6D6","aggression","M","M","2018-01-17","DP","scan","agonsim.winner","AM"
"1E2","7F0","aggression","F","F","2018-01-17","DP","scan","agonsim.winner","AM"
"56K","8L3","aggression","M","M","2018-01-19","DP","scan","agonsim.winner","AM"
"6C2","5J3","aggression","F","F","2018-01-19","DP","scan","agonsim.winner","AM"
"16R","98Z","aggression","M",NA,"2018-01-19","DP","scan","agonsim.winner","AM"
"5H4","INF","aggression","F","M","2018-01-19","DP","scan","agonsim.winner","AM"
"5H4","51V","aggression","F","M","2018-01-22","DP","scan","agonsim.winner","AM"
"JF","93O","aggression","F","F","2018-01-22","DP","scan","agonsim.loser","AM"
"JM","1L1","aggression","F","M","2018-01-22","DP","scan","agonsim.loser","AM"
"5H4","1C5","aggression","F","F","2018-01-22","DP","scan","agonsim.loser","AM"
"16R","6K6","aggression","F","F","2018-01-22","DP","scan","agonsim.loser","AM"
"3M3","7I8","aggression","M","M","2018-01-23","DP","scan","agonsim.winner","AM"
"JM","9N6","aggression","F","F","2018-01-23","DP","scan","agonsim.loser","AM"
"1E2","3F5","aggression","F","F","2018-01-23","DP","scan","agonsim.loser","AM"
"24V","9L9","aggression","F","F","2018-01-24","DP","scan","agonsim.winner","AM"
