,dens,dens.w,gini,gini.w,kcomm,clust.w,dens.f,dens.f.w,gini.f,gini.f.w,kcomm.f,clust.f.w,dens.m,dens.m.w,gini.m,gini.m.w,eo.FF,eo.MM,eo.cross,eo.ck,eo.dk,eo.u,kinDegree,group,isPost,quarter,netID
1512,0.028083028,1.641287582,0.398948877,0.3940175,12,0.120549674,0.034482759,1.107273448,0.346739443,0.373058401,11,0.09269774,0.021169355,0.072915938,0.569940476,0.560483871,1.314970563,0.486571113,0.849441787,14.64777548,1.146154172,0.526508492,0.244693635,groupKK,0,2,groupKK.0.2
1513,0.029426129,2.33448549,0.400392139,0.367462213,10,0.12636235,0.036528346,1.52202294,0.351186441,0.340609741,9,0.133828876,0.02016129,0.094086694,0.5640625,0.574776542,1.257005126,0.485650762,0.902214751,14.08999563,1.457461088,0.535781043,0.229234627,groupKK,0,2,groupKK.0.2
1514,0.026373626,3.076914989,0.406186406,0.410047207,9,0.14768933,0.033313852,2.098767984,0.35102587,0.34373601,8,0.124678502,0.019153226,0.146840504,0.541118421,0.585598795,1.292402629,0.542538446,0.855190695,12.26164568,1.402063169,0.60097867,0.202058741,groupKK,0,2,groupKK.0.2
1515,0.029059829,2.586324786,0.404192446,0.380886529,10,0.12755374,0.037405026,1.817884278,0.354740466,0.343726024,11,0.112762238,0.019153226,0.099596774,0.590460526,0.586538462,1.306923476,0.482375861,0.857836603,13.09721454,1.635753086,0.564442059,0.214884774,groupKK,0,2,groupKK.0.2
1516,0.026251526,3.010166172,0.423664707,0.42365207,9,0.15413625,0.034482759,2.160912069,0.360384947,0.362063024,9,0.133333443,0.016129032,0.118279194,0.640625,0.678977927,1.307985944,0.528002965,0.84488696,11.66943114,2.290490233,0.592775608,0.196761091,groupKK,0,2,groupKK.0.2
1517,0.026007326,7.906227106,0.444048909,0.46847889,8,0.15038721,0.032144944,4.88603156,0.402927581,0.441347012,8,0.115862069,0.021169355,0.571572581,0.552083333,0.601851852,1.196668615,0.733267455,0.891842872,9.960943637,1.525447368,0.676773455,0.161551316,groupKK,0,2,groupKK.0.2
1518,0.029304029,1.820096117,0.405860806,0.381883612,12,0.120246483,0.035359439,1.186499763,0.357473035,0.368616932,11,0.109645298,0.023185484,0.077284173,0.573369565,0.575,1.293002022,0.443077451,0.880777078,14.2218804,1.316178762,0.535777868,0.238693927,groupKK,0,2,groupKK.0.2
1519,0.027838828,2.637728938,0.419992288,0.39099423,9,0.13230384,0.034774985,1.721361777,0.380857428,0.365091594,8,0.1143809,0.019153226,0.114919355,0.615131579,0.634114583,1.250345043,0.522810452,0.89848816,11.70426278,1.840222222,0.606133802,0.199858081,groupKK,0,2,groupKK.0.2
1520,0.026739927,2.560347985,0.402880225,0.389866009,9,0.143707296,0.033021625,1.593293396,0.341232938,0.332660051,12,0.120936281,0.018145161,0.117943548,0.623263889,0.625,1.206041998,0.560462815,0.928746072,12.80798082,2.059523316,0.560763498,0.211980311,groupKK,0,2,groupKK.0.2
1521,0.028571429,2.728571429,0.407250869,0.393015362,11,0.13014827,0.035943892,1.860096435,0.346837536,0.348235487,8,0.123913043,0.019153226,0.124495968,0.570723684,0.586538462,1.296913106,0.561929995,0.846008685,11.64319706,1.600193237,0.616016418,0.195708696,groupKK,0,2,groupKK.0.2
1522,0.027838828,2.721245421,0.419124735,0.407745707,9,0.139506915,0.034482759,1.689655172,0.376615915,0.376686268,9,0.106442577,0.02016129,0.146169355,0.5734375,0.615301724,1.199729148,0.612341185,0.920838029,11.82369403,2.028,0.595917443,0.201545918,groupKK,0,2,groupKK.0.2
1523,0.028205128,2.010629077,0.406831264,0.367042047,13,0.132525971,0.036528346,1.461139319,0.38359322,0.33710646,12,0.141513334,0.019153226,0.073876865,0.547697368,0.58564711,1.342955542,0.446719466,0.834549901,14.12532458,1.537908429,0.531953404,0.233573191,groupKK,0,2,groupKK.0.2
1524,0.028937729,1.721794872,0.390596745,0.375861114,11,0.124245547,0.03798948,1.276446523,0.343415906,0.346448749,12,0.141043724,0.019153226,0.055544355,0.582236842,0.564655172,1.351531612,0.402395636,0.838422233,14.43804415,1.281583333,0.529400664,0.239150298,groupKK,0,2,groupKK.0.2
